student_id,age,python_skill,sql_skill,ml_skill,web_skill,data_interest,ai_interest,web_interest,programming_interest,course_id,course_title,category,difficulty,duration_hours,course_python,course_sql,course_ml,course_web,course_data_science,enrolled,progress,completed,rating,lessons_viewed,time_spent_hours
S025,29,3,4,3,0,1,1,0,2,C014,Excel for Data Analysis,Data Science,Beginner,12,0,1,0,0,4,0,0,0,0,1,0
S076,24,0,3,3,2,4,3,3,0,C049,Software Engineering - Advanced Track 24,Programming,Intermediate,30,3,2,1,3,1,0,0,0,0,1,4.6
S013,28,1,5,3,3,5,3,1,2,C013,Statistics for Data Science,Data Science,Intermediate,28,2,2,3,0,5,1,26,0,3,4,12
S002,35,0,4,3,0,0,0,1,1,C046,Node.js Backend Development - Advanced Track 21,Web Development,Intermediate,32,4,1,1,5,1,0,0,0,0,2,0
S007,30,0,4,2,5,4,2,4,1,C036,Data Analysis with Pandas - Advanced Track 11,Data Science,Beginner,18,5,3,2,0,5,0,0,0,0,1,0
S082,30,2,1,3,2,2,3,2,3,C049,Software Engineering - Advanced Track 24,Programming,Intermediate,30,3,2,1,3,1,0,0,0,0,0,0.7
S074,25,2,3,0,5,2,1,2,2,C019,Advanced JavaScript,Web Development,Advanced,35,3,0,1,5,1,0,0,0,0,0,0
S024,31,1,4,5,5,1,5,2,3,C004,SQL for Beginners,Database,Beginner,15,1,5,1,0,4,0,0,0,0,0,0
S015,30,2,1,1,4,3,0,0,0,C005,Advanced SQL,Database,Advanced,25,1,5,2,0,5,1,22,0,2,1,1.3
S020,27,5,4,4,1,1,2,1,4,C010,Natural Language Processing,AI,Advanced,40,4,1,5,0,4,0,0,0,0,4,0
S011,25,1,3,3,2,5,5,4,1,C016,Web Development Fundamentals,Web Development,Beginner,25,2,1,0,5,2,0,0,0,0,0,0
S078,18,2,2,3,3,4,5,5,4,C039,Excel for Data Analysis - Advanced Track 14,Data Science,Beginner,12,0,1,0,0,4,1,12,0,4,2,0
S058,21,4,3,2,5,2,3,4,4,C029,SQL for Beginners - Advanced Track 4,Database,Beginner,15,1,5,1,0,4,0,0,0,0,1,0
S055,32,2,2,1,1,0,5,1,3,C020,React Development,Web Development,Intermediate,30,3,0,1,5,1,1,5,0,2,0,7.1
S098,27,5,4,2,3,4,4,2,3,C014,Excel for Data Analysis,Data Science,Beginner,12,0,1,0,0,4,1,19,0,2,0,4.7
S021,34,0,4,2,3,0,0,2,2,C016,Web Development Fundamentals,Web Development,Beginner,25,2,1,0,5,2,1,0,0,2,0,0
S053,31,0,1,5,2,3,5,5,1,C029,SQL for Beginners - Advanced Track 4,Database,Beginner,15,1,5,1,0,4,0,0,0,0,0,0.6
S005,28,2,1,1,2,0,0,3,0,C015,Power BI Fundamentals,Data Science,Beginner,20,0,1,0,0,5,0,0,0,0,2,0.5
S059,21,3,4,1,2,0,5,3,0,C005,Advanced SQL,Database,Advanced,25,1,5,2,0,5,0,0,0,0,0,0
S081,18,0,5,3,1,3,1,0,2,C038,Statistics for Data Science - Advanced Track 13,Data Science,Intermediate,28,2,2,3,0,5,0,0,0,0,0,0
S055,32,2,2,1,1,0,5,1,3,C008,Deep Learning with Python,AI,Advanced,45,5,1,5,0,5,0,0,0,0,0,3.2
S035,26,3,2,3,5,5,4,5,5,C010,Natural Language Processing,AI,Advanced,40,4,1,5,0,4,1,33,0,3,1,14.2
S077,24,3,3,4,5,0,4,3,3,C048,Git and GitHub - Advanced Track 23,Programming,Beginner,10,2,0,0,3,0,0,0,0,0,0,0
S057,35,2,0,0,2,1,4,2,0,C008,Deep Learning with Python,AI,Advanced,45,5,1,5,0,5,0,0,0,0,1,3.1
S052,29,4,3,4,5,1,1,1,1,C018,JavaScript Fundamentals,Web Development,Beginner,25,2,0,0,5,1,0,0,0,0,2,0
S011,25,1,3,3,2,5,5,4,1,C039,Excel for Data Analysis - Advanced Track 14,Data Science,Beginner,12,0,1,0,0,4,0,0,0,0,0,1
S042,28,0,0,3,4,4,0,0,4,C039,Excel for Data Analysis - Advanced Track 14,Data Science,Beginner,12,0,1,0,0,4,1,24,0,2,3,2.3
S098,27,5,4,2,3,4,4,2,3,C044,Advanced JavaScript - Advanced Track 19,Web Development,Advanced,35,3,0,1,5,1,0,0,0,0,0,0
S098,27,5,4,2,3,4,4,2,3,C049,Software Engineering - Advanced Track 24,Programming,Intermediate,30,3,2,1,3,1,0,0,0,0,2,4.1
S057,35,2,0,0,2,1,4,2,0,C018,JavaScript Fundamentals,Web Development,Beginner,25,2,0,0,5,1,0,0,0,0,0,3
S082,30,2,1,3,2,2,3,2,3,C032,Machine Learning Fundamentals - Advanced Track 7,AI,Intermediate,35,4,2,5,0,5,1,49,0,4,7,18.2
S043,24,4,2,1,2,0,1,2,2,C021,Node.js Backend Development,Web Development,Intermediate,32,4,1,1,5,1,0,0,0,0,4,0
S043,24,4,2,1,2,0,1,2,2,C027,Advanced Python - Advanced Track 2,Programming,Advanced,35,5,1,2,2,2,1,59,0,5,3,23.1
S098,27,5,4,2,3,4,4,2,3,C036,Data Analysis with Pandas - Advanced Track 11,Data Science,Beginner,18,5,3,2,0,5,1,36,0,3,6,6.8
S042,28,0,0,3,4,4,0,0,4,C008,Deep Learning with Python,AI,Advanced,45,5,1,5,0,5,1,2,0,2,0,2
S085,25,1,3,5,0,4,1,3,5,C035,Natural Language Processing - Advanced Track 10,AI,Advanced,40,4,1,5,0,4,1,66,0,4,11,24
S080,30,5,1,3,1,4,4,0,3,C049,Software Engineering - Advanced Track 24,Programming,Intermediate,30,3,2,1,3,1,0,0,0,0,0,2.7
S007,30,0,4,2,5,4,2,4,1,C014,Excel for Data Analysis,Data Science,Beginner,12,0,1,0,0,4,1,15,0,3,1,3.3
S057,35,2,0,0,2,1,4,2,0,C045,React Development - Advanced Track 20,Web Development,Intermediate,30,3,0,1,5,1,1,15,0,3,5,2.4
S091,32,5,1,3,1,5,4,5,2,C011,Data Analysis with Pandas,Data Science,Beginner,18,5,3,2,0,5,1,34,0,4,5,1.7
S012,28,0,1,0,2,3,2,0,1,C015,Power BI Fundamentals,Data Science,Beginner,20,0,1,0,0,5,0,0,0,0,0,0.8
S060,34,4,5,5,5,5,5,1,2,C008,Deep Learning with Python,AI,Advanced,45,5,1,5,0,5,1,64,0,4,12,24.6
S066,23,5,0,2,4,5,5,4,2,C046,Node.js Backend Development - Advanced Track 21,Web Development,Intermediate,32,4,1,1,5,1,0,0,0,0,0,0
S061,31,0,5,2,4,2,5,0,5,C016,Web Development Fundamentals,Web Development,Beginner,25,2,1,0,5,2,1,5,0,3,0,2.5
S077,24,3,3,4,5,0,4,3,3,C033,Deep Learning with Python - Advanced Track 8,AI,Advanced,45,5,1,5,0,5,1,75,0,3,15,34.5
S036,33,1,1,2,1,0,4,5,4,C050,Object Oriented Programming - Advanced Track 25,Programming,Intermediate,25,4,1,1,3,1,0,0,0,0,0,0
S065,28,3,3,3,5,1,4,3,5,C018,JavaScript Fundamentals,Web Development,Beginner,25,2,0,0,5,1,1,34,0,3,6,15.9
S076,24,0,3,3,2,4,3,3,0,C038,Statistics for Data Science - Advanced Track 13,Data Science,Intermediate,28,2,2,3,0,5,1,39,0,3,8,10.8
S058,21,4,3,2,5,2,3,4,4,C035,Natural Language Processing - Advanced Track 10,AI,Advanced,40,4,1,5,0,4,1,5,0,4,4,4.3
S059,21,3,4,1,2,0,5,3,0,C021,Node.js Backend Development,Web Development,Intermediate,32,4,1,1,5,1,0,0,0,0,2,0
S031,30,5,2,0,1,1,1,4,3,C037,Data Visualization - Advanced Track 12,Data Science,Beginner,15,3,2,1,0,5,0,0,0,0,4,0
S053,31,0,1,5,2,3,5,5,1,C003,Python for Data Science,Data Science,Intermediate,30,5,2,3,0,5,0,0,0,0,1,6.6
S049,35,5,3,4,0,0,0,5,1,C025,Object Oriented Programming,Programming,Intermediate,25,4,1,1,3,1,0,0,0,0,0,0
S084,20,5,0,0,1,1,0,4,1,C010,Natural Language Processing,AI,Advanced,40,4,1,5,0,4,1,21,0,3,2,3.7
S013,28,1,5,3,3,5,3,1,2,C029,SQL for Beginners - Advanced Track 4,Database,Beginner,15,1,5,1,0,4,0,0,0,0,0,0
S002,35,0,4,3,0,0,0,1,1,C047,Full Stack Development - Advanced Track 22,Web Development,Advanced,50,4,2,2,5,2,0,0,0,0,1,0
S020,27,5,4,4,1,1,2,1,4,C005,Advanced SQL,Database,Advanced,25,1,5,2,0,5,0,0,0,0,4,0
S044,23,3,4,5,2,4,5,4,0,C040,Power BI Fundamentals - Advanced Track 15,Data Science,Beginner,20,0,1,0,0,5,0,0,0,0,0,2.4
S043,24,4,2,1,2,0,1,2,2,C044,Advanced JavaScript - Advanced Track 19,Web Development,Advanced,35,3,0,1,5,1,1,4,0,3,1,5.3
S081,18,0,5,3,1,3,1,0,2,C046,Node.js Backend Development - Advanced Track 21,Web Development,Intermediate,32,4,1,1,5,1,0,0,0,0,0,0.6
S070,31,1,1,5,4,3,0,4,1,C003,Python for Data Science,Data Science,Intermediate,30,5,2,3,0,5,1,38,0,3,9,7.7
S030,31,3,5,0,5,5,5,0,0,C048,Git and GitHub - Advanced Track 23,Programming,Beginner,10,2,0,0,3,0,0,0,0,0,0,1.6
S098,27,5,4,2,3,4,4,2,3,C041,Web Development Fundamentals - Advanced Track 16,Web Development,Beginner,25,2,1,0,5,2,1,41,0,3,8,11.3
S089,21,4,0,2,4,3,5,2,0,C020,React Development,Web Development,Intermediate,30,3,0,1,5,1,1,28,0,2,6,9.3
S038,23,0,4,0,1,0,4,0,5,C023,Git and GitHub,Programming,Beginner,10,2,0,0,3,0,1,0,0,4,5,1.4
S073,33,3,2,1,5,2,4,3,5,C044,Advanced JavaScript - Advanced Track 19,Web Development,Advanced,35,3,0,1,5,1,1,14,0,2,4,2
S079,25,3,1,2,3,3,0,3,2,C025,Object Oriented Programming,Programming,Intermediate,25,4,1,1,3,1,1,40,0,3,11,7.5
S030,31,3,5,0,5,5,5,0,0,C030,Advanced SQL - Advanced Track 5,Database,Advanced,25,1,5,2,0,5,1,65,0,3,14,18.7
S060,34,4,5,5,5,5,5,1,2,C019,Advanced JavaScript,Web Development,Advanced,35,3,0,1,5,1,1,80,0,5,15,25.7
S045,35,2,5,0,1,2,0,0,5,C038,Statistics for Data Science - Advanced Track 13,Data Science,Intermediate,28,2,2,3,0,5,0,0,0,0,0,0
S089,21,4,0,2,4,3,5,2,0,C017,HTML and CSS,Web Development,Beginner,15,0,0,0,5,1,0,0,0,0,0,1
S050,35,0,2,4,4,1,3,1,0,C031,Database Design - Advanced Track 6,Database,Intermediate,22,1,5,1,1,4,0,0,0,0,0,2.5
S046,35,1,2,2,4,1,5,2,1,C037,Data Visualization - Advanced Track 12,Data Science,Beginner,15,3,2,1,0,5,0,0,0,0,0,4.4
S003,34,4,0,4,1,5,5,5,4,C043,JavaScript Fundamentals - Advanced Track 18,Web Development,Beginner,25,2,0,0,5,1,1,5,0,2,9,3.1
S078,18,2,2,3,3,4,5,5,4,C048,Git and GitHub - Advanced Track 23,Programming,Beginner,10,2,0,0,3,0,0,0,0,0,0,0
S037,19,5,2,0,0,4,3,4,4,C050,Object Oriented Programming - Advanced Track 25,Programming,Intermediate,25,4,1,1,3,1,0,0,0,0,1,0
S046,35,1,2,2,4,1,5,2,1,C015,Power BI Fundamentals,Data Science,Beginner,20,0,1,0,0,5,0,0,0,0,2,1.4
S087,27,0,4,0,2,4,5,3,3,C049,Software Engineering - Advanced Track 24,Programming,Intermediate,30,3,2,1,3,1,0,0,0,0,0,0
S018,35,2,5,2,0,2,3,1,3,C041,Web Development Fundamentals - Advanced Track 16,Web Development,Beginner,25,2,1,0,5,2,0,0,0,0,0,0
S006,29,2,4,2,0,5,3,4,0,C020,React Development,Web Development,Intermediate,30,3,0,1,5,1,1,36,0,3,7,7.1
S094,28,0,3,2,1,3,1,2,2,C009,Artificial Intelligence Basics,AI,Beginner,25,3,1,4,0,4,0,0,0,0,0,1.2
S096,20,1,5,3,3,4,1,5,3,C027,Advanced Python - Advanced Track 2,Programming,Advanced,35,5,1,2,2,2,1,0,0,3,0,0.2
S068,25,3,4,0,3,3,5,4,1,C033,Deep Learning with Python - Advanced Track 8,AI,Advanced,45,5,1,5,0,5,0,0,0,0,0,1.1
